date,btc_p,ltc_p,eth_p,xrp_p,doge_p
08/11/2017,7128.1,60.56,292.07,0.179306999,0.00188013
09/11/2017,7463.5,62.16,308.38,0.214441001,0.00146318
10/11/2017,7152.4,64.22,319.01,0.264438987,0.00104613
13/11/2017,5880.0,58.1,305.13,0.203442007,0.00121112
14/11/2017,6528.0,61.03,314.83,0.209824994,0.0011843
15/11/2017,6660.6,63.22,335.0,0.212955996,0.00133873
16/11/2017,7260.0,63.24,330.15,0.227107003,0.00139029
17/11/2017,7754.5,70.0,325.98,0.226581007,0.0013132
20/11/2017,8000.0,71.08,351.11,0.238758996,0.00139356
21/11/2017,8234.1,72.0,366.52,0.233271003,0.00138909
22/11/2017,8113.1,69.76,361.01,0.238858998,0.001823
24/11/2017,8030.0,73.01,408.75,0.244642004,0.00190814
27/11/2017,9174.3,84.01,464.19,0.253926992,0.00198799
28/11/2017,9590.4,89.84,469.4,0.299151987,0.00236254
29/11/2017,9800.0,92.87,461.56,0.243064001,0.00208044
30/11/2017,9733.1,83.65,424.01,0.250878006,0.00207915
01/12/2017,10088.3,87.59,439.25,0.00642293,0.000208379
04/12/2017,11235.1,100.43,463.09,0.034336001,0.000414131
05/12/2017,11638.0,103.1,467.0,0.206067994,0.00118332
06/12/2017,11730.0,101.0,456.0,0.253964007,0.00325288
